City,Jul 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Avg
Sofia,-2,1,1,0,2,5,6,6,6,-3,1,2,4,0,1,4,5,6,6,7,6,6,5,4,6,6,5,7,8,9,1,3.90
Ṣo Paulo,-1,-1,-2,0,-6,0,0,-1,0,5,-2,7,8,9,7,2,3,3,5,6,1,-5,-1,4,-5,2,1,2,2,5,5,1.71
Vancouver,2,3,3,3,4,5,1,2,4,0,-4,1,-1,-1,0,-1,0,3,4,1,0,-1,0,-5,-1,-5,-2,-1,1,3,3,0.68
Chongqing,11,10,7,6,9,14,16,18,17,17,18,21,20,11,14,18,18,20,19,19,17,10,17,18,18,19,20,19,19,21,20,16.16
Zagreb,13,14,13,14,15,17,18,17,6,7,11,14,5,12,14,15,18,16,18,15,17,19,18,16,16,5,3,6,5,0,7,12.39
Addis Ababa,6,1,4,3,5,7,4,5,6,0,7,7,3,5,6,4,8,8,6,6,6,5,5,4,7,6,6,6,7,5,3,5.19
Cairo,-5,-3,-3,-2,-2,-3,-3,-2,-2,-3,-1,-3,-2,-1,-1,-1,-1,0,-1,0,-1,1,4,6,1,0,0,1,1,2,2,-0.71
Accra,11,11,9,9,11,11,13,13,13,11,11,12,12,12,12,9,12,11,12,11,11,12,13,10,12,12,11,10,12,11,10,11.29
Tel Aviv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chennai,22,22,22,23,23,23,23,23,22,23,21,22,23,20,18,22,22,22,20,20,20,19,19,19,20,18,19,20,19,18,17,20.77
Kathmandu,12,12,13,13,12,12,11,13,13,12,12,14,14,13,11,11,13,9,13,12,12,11,13,13,13,13,15,18,14,14,7,12.52
Karachi,19,18,18,18,17,17,17,17,17,17,18,18,19,17,16,17,17,17,17,18,19,19,17,17,15,13,15,14,15,15,15,16.87
Moscow,3,4,0,8,6,-2,-1,2,5,3,-2,-5,-6,-1,-1,0,1,0,0,-3,-2,1,0,2,3,6,6,5,2,2,0,1.16
Taipei City,3,4,1,2,2,2,2,1,-1,-4,0,1,1,1,1,0,0,1,0,-2,3,1,1,1,1,2,1,1,1,0,2,0.94
Odessa,9,8,7,6,7,11,15,13,14,7,7,7,6,9,11,10,12,14,7,9,12,8,13,13,17,14,15,16,11,12,12,10.71
Raleigh,-3,-3,-12,-3,0,-1,1,1,4,4,1,-4,-2,-2,-2,-4,0,3,3,3,3,-2,-8,-4,-2,-1,0,0,1,4,1,-0.77
